sku|project_id|polygon_id|latitude|longitude|radius|projektstatus_alt
10570700100_1493|10570700100|1493|54.226929049536615|10.312747585018498|1|7
10600470100_884|10600470100|884|53.89611685673433|10.07244758811054|2.5|5
10600470100_887|10600470100|887|53.91127326041783|9.99253394900042|2|5
10600470100_889|10600470100|889|53.907831757647315|10.025871414514219|1|6
10600470100_890|10600470100|890|53.89731462207774|10.025363893347459|1|6
10600730100_891|10600730100|891|53.87852923493822|9.982321331077598|1.2|6
10930_1175|10930|1175|52.12499884195801|7.548246308077972|1.5|6
10930_1176|10930|1176|52.09548689838979|7.5921533791310045|1.4|6
10930_1178|10930|1178|52.08666746780107|7.6205863383595|1.3|6
11433_1052|11433|1052|51.12488980515451|6.728791089929429|1|6
13522_570|13522|570|51.04353224211227|6.577473811783004|1|5
13522_575|13522|575|51.06933634066195|6.566298530471196|1|5
13522_583|13522|583|51.07020543035068|6.591766530675816|1|5
13522_585|13522|585|51.03782611966134|6.595116681358476|1|5
2326_1191|2326|1191|51.525677255795856|6.29895071179494|1|7
2843_1183|2843|1183|51.767795058208904|6.201381211600961|1|7
3082_1492|3082|1492|51.75998821416896|7.001628746183835|1|7
3610_1193|3610|1193|51.49819163561712|6.231972114555114|1.3|7
3757_1496|3757|1496|51.84435281089323|7.827351094545288|1.2|7
4392_1182|4392|1182|51.76254656724485|6.189785192173017|1|7
4410_591|4410|591|51.110488876987425|6.544939894929267|1|5
4411_1442|4411|1442|51.1004252711284|6.504988431893327|1|7
51540125200_1188|51540125200|1188|51.5708464217331|6.363151712632789|1|7
51700160000_1091|51700160000|1091|51.63739161337801|6.767636237220162|1.3|6
51700160100_1010|51700160100|1010|51.663517616266326|6.742882320933864|1|6
55580440100_988|55580440100|988|51.86351922333389|7.4691344229197245|3.8|6
6782_1234|6782|1234|51.44338093628028|6.269852498200746|1|7
91751390100_1403|91751390100|1403|48.08480632425866|11.829608715459795|1.1|7
91751390100_1404|91751390100|1404|48.092808909577094|11.835149958790687|1|7
91751390100_1406|91751390100|1406|48.10436250426561|11.825591455563593|1|7
91751390100_1407|91751390100|1407|48.112277624758896|11.828056406406022|1|7
91851500100_972|91851500100|972|48.72440306184141|11.146199587197827|1|6
91851500100_973|91851500100|973|48.718664745783556|11.115450180014728|1.1|6
91851500100_974|91851500100|974|48.689489983226295|11.10467677109639|1|6
